,title,price,link
0,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 14"" (35.5cm) FHD 250 Nits Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/1Yr ADP Free/3 mon.Game Pass/Grey/1.37Kg),83EQ005VIN  ","53,280",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQ0NzQ2Mzc0OTE5OTM0OjE3MjcyNzI2Mjk6c3BfYXRmOjMwMDI4NDc3NzI2NjgzMjo6MDo6&url=%2FLenovo-i5-12450H-Graphics-mon-Game-83EQ005VIN%2Fdp%2FB0D6MPVN7B%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2HKYWR7ULS4H7%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727272629%26sprefix%3Dlaptop%252Caps%252C193%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/Backlit KB/1 Yr ADP Free/Grey/1.6Kg), 83ER008DIN  ","52,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQ0NzQ2Mzc0OTE5OTM0OjE3MjcyNzI2Mjk6c3BfYXRmOjMwMDEwMzQ0MzMzOTUzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Warranty-83ER008DIN%2Fdp%2FB0CNVH114V%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2HKYWR7ULS4H7%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727272629%26sprefix%3Dlaptop%252Caps%252C193%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Lenovo V15 G2 15.6"" FHD Anti-Glare Business Laptop, Intel Celeron N4500, 8GB RAM, 256 SSD, Intel UHD Graphics, HD Camera, HD Audio, Wi-Fi, Bluetooth, Windows 11, Black,  ","22,990",https://amazon.in/Lenovo-V15-G2-Anti-Glare-Bluetooth/dp/B0CVTJSWV1/ref=sr_1_6?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-6
3,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","20,989",https://amazon.in/Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_7?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-7
4,"ASUS Vivobook 15, Intel Celeron N4020, 15.6"" (39.62 cms) HD, Thin and Light Laptop (8GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 kg), X515MA-BR022WS  ","24,990",https://amazon.in/ASUS-SmartChoice-Integrated-Fingerprint-X515MA-BR024WS/dp/B0C1GM4C6V/ref=sr_1_8?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-8
5,"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop(Win11Home/16GB RAM/512GB SSD/Intel UHD Graphics/MSO)AL15-52H, 39.62cm(15.6"") FHD IPS Display, Backlit Keyboard, Pure Silver, 1.7KG  ","41,990",https://amazon.in/Acer-i5-12450H-Win11Home-Graphics-AL15-52H/dp/B0DDL495SX/ref=sr_1_9?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-9
6,"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/512 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG  ","21,719",https://amazon.in/Acer-Celeron-Processor-LPDDR4X-A325-45/dp/B0D7PYTTGH/ref=sr_1_10?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-10
7,"HONOR MagicBook X16 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 16-inch (40.64 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.75Kg), Gray  ","53,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQ0NzQ2Mzc0OTE5OTM0OjE3MjcyNzI2Mjk6c3BfbXRmOjMwMDE2OTc3NTIyMjkzMjo6MDo6&url=%2FMagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint%2Fdp%2FB0CXLWXYB1%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2HKYWR7ULS4H7%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727272629%26sprefix%3Dlaptop%252Caps%252C193%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
8,"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN  ","39,990",https://amazon.in/sspa/click?ie=UTF8&spc=MTo4MDQ0NzQ2Mzc0OTE5OTM0OjE3MjcyNzI2Mjk6c3BfbXRmOjMwMDEwNDYwMzQ5NzQzMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82R400ERIN%2Fdp%2FB0CP2KRYLM%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2HKYWR7ULS4H7%26dib%3DeyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1727272629%26sprefix%3Dlaptop%252Caps%252C193%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
9,"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU  ","32,490",https://amazon.in/HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_13?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-13
10,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ","16,300",https://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR49QPM9/ref=sr_1_14?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-14
11,"Apple MacBook Air Laptop M1 chip, 13.3-inch/33.74 cm Retina Display, 8GB RAM, 256GB SSD Storage, Backlit Keyboard, FaceTime HD Camera, Touch ID. Works with iPhone/iPad; Space Grey  ","62,990",https://amazon.in/Apple-MacBook-Chip-13-inch-256GB/dp/B08N5W4NNB/ref=sr_1_15?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-15
12,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","16,130",https://amazon.in/Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_3?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-3
13,"Acer Aspire Lite 12th Gen Intel Core i3-1215U Thin and Light Metal Laptop (Windows 11 Home/8GB RAM/512GB SSD/Intel UHD Graphics/MSO) AL15-52, 39.62cm (15.6"") Full HD Display, Steel Gray, 1.59 KG  ","30,990",https://amazon.in/Acer-i3-1215U-Windows-Graphics-AL15-52/dp/B0CY1Z82QW/ref=sr_1_16?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-16
14,"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB RAM/512GB/Win11/Office 2021/Silver/1.7 kg), X1502ZA-EJ542WS  ","47,990",https://amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ542WS/dp/B0C5Y3JBC4/ref=sr_1_17?crid=2HKYWR7ULS4H7&dib=eyJ2IjoiMSJ9.9_DYRQ4JIiUfuVtg49iGBA7sI-H1D611a7veVphpElxUphSgxH2HIqEAjIbfvzgwS9OGJ00HaFmR6Pok8m6JNRBiZBvrjNN5esTjo5rma7hKg1vV8fQB6-5IT_T373CLq4wI-AD4l2E4YkPcAr0T_p5ZFmlFwkuazYZTBCX08-KI1zVd5Yso96-R_KTBhCsGSta99Rl31k6VIvujcIAkKAZsOA2sGqIJ3Bu-DF4uYTQ.8UITbhNjXZQrT2S2kodKrfQ48Rjtxnht5qKlvNKsliY&dib_tag=se&keywords=laptop&qid=1727272629&sprefix=laptop%2Caps%2C193&sr=8-17
